account_id,seats,arr,plan_tier,region,monthly_active_users
SYN-001,4,6000,Scale,South,12
SYN-002,75,112500,Starter,West,146
SYN-003,50,75000,Growth,East,138
SYN-004,59,88500,Starter,North,126
SYN-005,29,34800,Starter,North,104
SYN-006,50,60000,Growth,North,115
SYN-007,62,55800,Scale,West,179
SYN-008,116,139200,Growth,West,257
SYN-009,7,10500,Starter,West,27
SYN-010,96,144000,Growth,North,353
SYN-011,38,34200,Growth,West,102
SYN-012,33,29700,Scale,North,95
SYN-013,31,46500,Growth,West,44
SYN-014,19,22800,Starter,North,19
SYN-015,42,50400,Starter,West,113
SYN-016,83,124500,Growth,West,138
SYN-017,109,130800,Starter,East,139
SYN-018,85,127500,Scale,East,277
SYN-019,76,68400,Starter,South,200
SYN-020,43,64500,Scale,West,138
SYN-021,67,60300,Starter,East,72
SYN-022,15,22500,Growth,South,56
SYN-023,93,83700,Scale,South,123
SYN-024,80,120000,Scale,North,157
SYN-025,87,104400,Starter,North,343
SYN-026,14,12600,Scale,East,49
SYN-027,27,24300,Starter,North,91
SYN-028,40,36000,Growth,West,88
SYN-029,16,19200,Scale,West,43
SYN-030,116,139200,Growth,West,200
SYN-031,95,114000,Starter,West,260
SYN-032,33,39600,Growth,North,115
SYN-033,61,54900,Starter,South,186
SYN-034,96,144000,Scale,North,226
SYN-035,118,141600,Scale,East,273
SYN-036,55,66000,Starter,North,59
SYN-037,76,68400,Starter,South,101
SYN-038,77,92400,Growth,West,288
SYN-039,93,111600,Growth,North,178
SYN-040,28,25200,Growth,South,88
SYN-041,118,141600,Scale,South,153
SYN-042,58,52200,Starter,East,142
SYN-043,31,46500,Starter,West,77
SYN-044,114,171000,Growth,East,455
SYN-045,62,55800,Starter,South,199
SYN-046,105,94500,Scale,North,313
SYN-047,112,168000,Scale,North,382
SYN-048,79,94800,Scale,West,300
SYN-049,100,90000,Starter,East,349
SYN-050,52,46800,Growth,South,184
SYN-051,90,135000,Scale,North,142
SYN-052,90,135000,Scale,West,97
SYN-053,16,24000,Growth,South,62
SYN-054,24,28800,Scale,West,93
SYN-055,55,66000,Starter,North,95
SYN-056,67,100500,Growth,West,147
SYN-057,42,37800,Starter,South,116
SYN-058,27,24300,Growth,East,92
SYN-059,113,135600,Starter,North,303
SYN-060,36,54000,Starter,West,47
SYN-061,32,38400,Growth,North,60
SYN-062,49,44100,Starter,North,117
SYN-063,60,54000,Starter,South,168
SYN-064,10,12000,Growth,East,21
SYN-065,95,142500,Growth,North,337
SYN-066,12,10800,Scale,East,12
SYN-067,51,61200,Starter,West,64
SYN-068,22,26400,Growth,South,65
SYN-069,82,73800,Scale,North,120
SYN-070,118,141600,Growth,North,265
SYN-071,85,76500,Starter,South,233
SYN-072,106,159000,Growth,West,351
